measure_group_code,measure_type,tax_type_code,measure_type_id,adtnl_cd_type_id,adtnl_cd,zero_comp
EX,EXF,540,EDJ,nil,nil,1
EX,EXA,990,EXA,nil,nil,1
EX,EXB,990,EXB,nil,nil,1
EX,EXC,990,EXC,nil,nil,1
EX,EXD,990,EXD,nil,nil,1
EX,EXF,411,DAA,nil,nil,1
EX,EXF,412,DAB,nil,nil,1
EX,EXF,413,DAC,nil,nil,1
EX,EXF,415,DAE,nil,nil,1
EX,EXF,419,DAI,nil,nil,1
EX,EXF,421,DBA,nil,nil,1
EX,EXF,422,DBB,nil,nil,1
EX,EXF,423,DBC,nil,nil,1
EX,EXF,425,DBE,nil,nil,1
EX,EXF,429,DBI,nil,nil,1
EX,EXF,431,DCA,nil,nil,1
EX,EXF,433,DCC,nil,nil,1
EX,EXF,435,DCE,nil,nil,1
EX,EXF,438,DCH,nil,nil,1
EX,EXF,440,DDJ,nil,nil,1
EX,EXF,441,DDA,nil,nil,1
EX,EXF,442,DDB,nil,nil,1
EX,EXF,443,DDC,nil,nil,1
EX,EXF,451,DEA,nil,nil,1
EX,EXF,461,DFA,nil,nil,1
EX,EXF,462,DFB,nil,nil,1
EX,EXF,463,DFC,nil,nil,1
EX,EXF,473,DGC,nil,nil,1
EX,EXF,481,DHA,nil,nil,1
EX,EXF,483,DHC,nil,nil,1
EX,EXF,485,DHE,nil,nil,1
EX,EXF,511,EAA,nil,nil,1
EX,EXF,515,EAE,nil,nil,1
EX,EXF,520,EBJ,nil,nil,1
EX,EXF,521,EBA,nil,nil,1
EX,EXF,522,EBB,nil,nil,1
EX,EXF,525,EBE,nil,nil,1
EX,EXF,541,EDA,nil,nil,1
EX,EXF,542,EDB,nil,nil,1
EX,EXF,545,EDE,nil,nil,1
EX,EXF,551,EEA,nil,nil,1
EX,EXF,556,EEF,nil,nil,1
EX,EXF,560,EFJ,nil,nil,1
EX,EXF,561,EFA,nil,nil,1
EX,EXF,570,EGJ,nil,nil,1
EX,EXF,571,EGA,nil,nil,1
EX,EXF,572,EGB,nil,nil,1
EX,EXF,589,EHI,nil,nil,1
EX,EXF,590,EIJ,nil,nil,1
EX,EXF,591,EIA,nil,nil,1
EX,EXF,592,EIB,nil,nil,1
EX,EXF,593,EIC,nil,nil,1
EX,EXF,594,EID,nil,nil,1
EX,EXF,595,EIE,nil,nil,1
EX,EXF,611,FAA,nil,nil,1
EX,EXF,615,FAE,nil,nil,1
EX,EXF,619,FAI,nil,nil,1
EX,EXF,623,FBC,nil,nil,1
EX,EXF,627,FBG,nil,nil,1
EX,EXL,511,LAA,nil,nil,1
EX,EXL,515,LAE,nil,nil,1
EX,EXL,520,LBJ,nil,nil,1
EX,EXL,521,LBA,nil,nil,1
EX,EXL,522,LBB,nil,nil,1
EX,EXL,525,LBE,nil,nil,1
EX,EXL,541,LDA,nil,nil,1
EX,EXL,551,LEA,nil,nil,1
EX,EXL,556,LEF,nil,nil,1
EX,EXL,561,LFA,nil,nil,1
EX,EXL,570,LGJ,nil,nil,1
VT,A,813,VTA,nil,nil,1
VT,A,B00,VTA,nil,nil,1
VT,E,813,VTE,nil,nil,1
VT,E,B00,VTE,nil,nil,1
VT,S,813,VTS,nil,nil,1
VT,S,B00,VTS,nil,nil,1
VT,Z,813,VTZ,nil,nil,1
VT,Z,B00,VTZ,nil,nil,1
PR,AHC,XXX,AHC,nil,nil,1
DL,AIL,XXX,AIL,nil,nil,1
PR,ATT,XXX,ATT,nil,nil,1
PR,CEX,XXX,CEX,nil,nil,1
PR,CHM,XXX,CHM,nil,nil,1
HO,CON,XXX,COE,nil,nil,1
PR,CON,XXX,COI,nil,nil,1
PR,CVD,XXX,CVD,nil,nil,1
DP,DPO,XXX,DPO,nil,nil,1
PR,ECM,XXX,ECM,nil,nil,1
PR,EHC,XXX,EHC,nil,nil,1
PR,EQC,XXX,EQC,nil,nil,1
PR,EWP,XXX,EWP,nil,nil,1
PR,HOP,XXX,HOP,nil,nil,1
PR,HSE,XXX,HSE,nil,nil,1
PR,IWP,XXX,IWP,nil,nil,1
PR,PHC,XXX,PHC,nil,nil,1
HO,PRE,XXX,PRE,nil,nil,1
PR,PRT,XXX,PRT,nil,nil,1
PR,QRC,XXX,QRC,nil,nil,1
PR,SFS,XXX,SFS,nil,nil,1
EX,EXF,444,DDD,nil,nil,1
EX,EXF,445,DDE,nil,nil,1
EX,EXF,446,DDF,nil,nil,1
EX,EXF,447,DDG,nil,nil,1
